RSI Days,Lower Bar,Higher Bar,Returns,Trade Count,Days per trade
20.0,35.0,65.0,2.059343331524029,2.0,268.0
20.0,35.0,70.0,1.2664974002391245,0.0,0.0
20.0,40.0,65.0,2.363892962097779,4.0,134.0
20.0,40.0,70.0,1.834547329395024,1.0,536.0
24.0,35.0,65.0,1.6647651765348837,1.0,536.0
24.0,35.0,70.0,1.3137340502001345,0.0,0.0
24.0,40.0,65.0,3.2757517521088357,3.0,178.66666666666666
24.0,40.0,70.0,2.042097402487742,1.0,536.0
28.0,35.0,65.0,1.3137340502001345,0.0,0.0
28.0,35.0,70.0,1.3137340502001345,0.0,0.0
28.0,40.0,65.0,3.328440368985589,2.0,268.0
28.0,40.0,70.0,2.171011974250961,1.0,536.0
32.0,35.0,65.0,1.0,0.0,0.0
32.0,35.0,70.0,1.0,0.0,0.0
32.0,40.0,65.0,2.1516791775393567,1.0,536.0
32.0,40.0,70.0,2.533499549812794,1.0,536.0
36.0,35.0,65.0,1.0,0.0,0.0
36.0,35.0,70.0,1.0,0.0,0.0
36.0,40.0,65.0,1.3137340502001345,0.0,0.0
36.0,40.0,70.0,1.3137340502001345,0.0,0.0
40.0,35.0,65.0,1.0,0.0,0.0
40.0,35.0,70.0,1.0,0.0,0.0
40.0,40.0,65.0,1.3137340502001345,0.0,0.0
40.0,40.0,70.0,1.3137340502001345,0.0,0.0
44.0,35.0,65.0,1.0,0.0,0.0
44.0,35.0,70.0,1.0,0.0,0.0
44.0,40.0,65.0,1.0,0.0,0.0
44.0,40.0,70.0,1.0,0.0,0.0
48.0,35.0,65.0,1.0,0.0,0.0
48.0,35.0,70.0,1.0,0.0,0.0
48.0,40.0,65.0,1.0,0.0,0.0
48.0,40.0,70.0,1.0,0.0,0.0
52.0,35.0,65.0,1.0,0.0,0.0
52.0,35.0,70.0,1.0,0.0,0.0
52.0,40.0,65.0,1.0,0.0,0.0
52.0,40.0,70.0,1.0,0.0,0.0
56.0,35.0,65.0,1.0,0.0,0.0
56.0,35.0,70.0,1.0,0.0,0.0
56.0,40.0,65.0,1.0,0.0,0.0
56.0,40.0,70.0,1.0,0.0,0.0
60.0,35.0,65.0,1.0,0.0,0.0
60.0,35.0,70.0,1.0,0.0,0.0
60.0,40.0,65.0,1.0,0.0,0.0
60.0,40.0,70.0,1.0,0.0,0.0
64.0,35.0,65.0,1.0,0.0,0.0
64.0,35.0,70.0,1.0,0.0,0.0
64.0,40.0,65.0,1.0,0.0,0.0
64.0,40.0,70.0,1.0,0.0,0.0
68.0,35.0,65.0,1.0,0.0,0.0
68.0,35.0,70.0,1.0,0.0,0.0
68.0,40.0,65.0,1.0,0.0,0.0
68.0,40.0,70.0,1.0,0.0,0.0
